location_id,X,Y,SOCc
501-1,-90.19070581290642,39.05514698839897,1.35
501-2,-90.19028160883184,39.05515167084452,1.14
501-3,-90.18985740467892,39.05515635174003,1.09
502-1,-90.18918349120985,39.05536958535681,1.26
502-2,-90.1889339824354,39.05538134014544,1.2
502-3,-90.18868447360664,39.055393094486455,0.72
503-1,-90.18918265875178,39.054986737018105,1.36
503-2,-90.18893382743131,39.05498992356214,1.19
503-3,-90.18868499623602,39.05499310957647,1.6
504-1,-90.18918640154097,39.05460720775572,1.44
504-2,-90.18893616407564,39.0546105291448,1.65
504-3,-90.18868592650745,39.054613849902566,0.97
505-1,-90.18804712972258,39.05548490248687,2.01
505-2,-90.1876607559308,39.05548768312185,1.23
505-3,-90.18727438206707,39.05549046256107,1.18
506-1,-90.1864918936533,39.05549292701178,1.48
506-2,-90.18609577914104,39.05549261195906,0.88
506-3,-90.18569966459827,39.05549229555639,1.59
508-3,-90.1863072914857,39.0546273387051,1.27
508-2,-90.18630475957222,39.05440718549419,1.21
508-1,-90.18630222763312,39.05418703227648,1.05
521-2,-90.18658363882636,39.0572920840436,0.77
521-1,-90.18629859438984,39.0572915874096,0.92
521-3,-90.18644528830912,39.057445340783104,1.25
520-2,-90.18571438078573,39.05743851525354,1.14
520-1,-90.18541533159362,39.05743486976303,1.05
519-2,-90.18471059638138,39.057424092396175,1.18
519-1,-90.1848454570296,39.05727260751424,1.23
519-3,-90.18457339638506,39.05726654364184,1.08
518-1,-90.183968235682,39.05737003011983,1.49
518-2,-90.18362963830172,39.05736798903639,0.94
518-3,-90.18380003413635,39.05716277719104,1.26
513-1,-90.18646858391612,39.0569229337901,1.02
513-2,-90.18659388005204,39.05671110146416,0.78
513-3,-90.18633609743549,39.05670425347133,1.19
514-2,-90.18590486009174,39.05691487327182,1.54
514-1,-90.1857284935512,39.05691117445849,1.02
514-3,-90.1858171290794,39.056691507735465,1.84
515-2,-90.18519917237336,39.05690525917118,1.12
515-1,-90.18532185021976,39.05668564808291,1.12
515-3,-90.18508775724868,39.05668568572102,1.45
516-2,-90.1846639154128,39.05683846718206,1.35
516-3,-90.18447914312034,39.056834676555866,1.52
516-1,-90.18457479212977,39.056560963614814,1.24
517-1,-90.1836951617556,39.05661934608618,1.01
517-2,-90.18350060015084,39.05661446192683,1.07
517-3,-90.18360328268784,39.05636036746523,1.04
512-2,-90.18659552582098,39.05621896170963,1.3
512-3,-90.1863299155486,39.05621080708999,1.01
512-1,-90.18646404785176,39.05593734765997,1.3
511-1,-90.18580608523548,39.05619925125737,0.91
511-2,-90.18588079530568,39.05592869599359,1.28
511-3,-90.185708383101,39.05592832573427,1.04
510-2,-90.18522609432809,39.05619548450631,0.72
510-1,-90.1849043237806,39.05619511823296,1.32
510-3,-90.1850658081156,39.055925181036095,1.0
509-1,-90.18361080464616,39.05586688532266,0.91
509-3,-90.18370800323125,39.05563151485368,0.95
509-2,-90.18351784622236,39.05562836467943,0.87
507-2,-90.18583651866165,39.05516557039126,1.34
507-3,-90.18556728807698,39.05516616071012,1.07
507-1,-90.18570095577113,39.05500653175693,1.24
